train_times,steps,reward,Q loss,update_QNet_times,G loss,update_G_times,D loss,update_D_times,W_D
100,789.9,-0.025370703824255648,301.7022352742513,14,0.11065454660138732,18,-0.7723991571940688,12,1.1254010914661818
105,779.1,-0.016699851621020174,280.0660151306152,15,-0.27424500020065656,19,-0.9816414656339628,13,1.336118225888908
110,789.2,-0.021464822146233416,255.29898188883462,16,-0.5808810445572146,21,-0.9918918090891713,15,1.3109237475830648
115,789.2,-0.018752913831229723,280.5475985229492,17,-0.8769234737276822,23,-1.2240691703050914,16,1.51260315841751
120,789.2,-0.021212258059039334,305.53279030049646,17,-1.0845239171570993,24,-1.0887011783054719,16,1.3871089162013597
125,777.3,-0.014573764437726316,302.88871337076824,18,-1.300245043911557,26,-1.3274997909133217,18,1.6287383448463348
130,776.5,-0.013108004032489424,313.41402745564784,19,-1.510071634454549,28,-1.4145789039372776,20,1.7028636715576053
135,776.5,-0.014731218823053302,363.1029293492635,19,-1.5830976861398667,29,-1.3871721272749826,20,1.681836345326818
140,757.2,-0.010054823683298051,375.24097804514565,20,-1.5701334177448103,31,-1.4466715494903217,22,1.749065623387115
145,757.2,-0.007805365568290834,395.3554596583049,20,-1.9417529713583903,32,-1.878068824636833,23,2.1575598190618335
150,757.2,-0.0037488852791001314,470.1765214385987,20,-1.835305225983055,32,-1.8060288911701696,23,2.0885499329327986
155,768.0,-0.007931656124708971,535.781657119751,20,-1.6766512886997726,32,-1.5624090704021563,23,1.8613389289131874
160,768.0,-0.0045756001538092474,650.5327500640868,21,-1.6408231235740502,33,-1.4834084502235367,24,1.790558596103832
165,768.0,-0.007600092268657842,658.0280847300212,22,-1.4753745395979947,33,-1.294903299520341,24,1.6454393961192282
170,768.0,-0.005244871654408834,678.0799314198812,22,-1.484639811579966,33,-1.4632699058293157,25,1.7800811529154026
175,779.9,-0.013576277388888336,722.7122449727376,22,-1.5047491079879305,34,-1.2916326906893507,26,1.5885823253321427
180,780.7,-0.010706178025411465,730.6876555633545,23,-1.536522785058866,35,-1.2786901574549265,27,1.5732276772983647
185,734.2,0.0069113677249323935,671.3195977106094,24,-1.585207508214646,36,-1.237704470919083,27,1.5465620598282528
190,753.5,0.0018367701012851894,630.6026557797114,25,-1.7529825891140436,37,-1.2336183818970392,28,1.561229727274124
195,753.5,0.006133459991216995,610.6896186677933,26,-1.6464912301053605,38,-0.8118827347888404,28,1.1337892358450428
200,753.5,0.005060323892607138,570.0833171363195,27,-2.082883014732765,39,-0.9618456050791362,29,1.2885076908715896
205,753.5,0.003869210304233288,578.0429727454505,27,-2.319606399940741,40,-1.0455165592088984,29,1.345952175205615
210,753.5,0.002676717371645896,557.4665884884516,28,-2.5872957196293607,42,-1.045749867074502,30,1.3354735998352367
215,753.5,0.00688111736119795,693.4893660458247,28,-3.0114467261586753,43,-1.2391993972039264,30,1.4865581558684506
220,753.5,0.008143379235935336,829.999093503507,28,-3.250982429548684,44,-1.0867322838028064,30,1.3333497162558965
225,753.5,0.016128465893042968,846.6627547889073,29,-3.2816771130739815,45,-0.9192743453138197,31,1.1689441454773148
230,753.5,0.013267134624453386,896.6631294481278,29,-3.2707843102949363,45,-0.7723104729980437,31,1.0515306202900079
235,800.0,-0.0033186042028307086,917.6929895062765,30,-3.3723773658213516,46,-0.7975854272305345,31,1.0550661263994046
240,762.5,0.008813954513067053,986.8441333007813,31,-3.3891275328997934,47,-0.6905024328993944,32,0.9203007930674486
245,762.5,0.001481602448501052,970.5714992777508,32,-3.539374170760728,48,-1.164422606292129,33,1.4107101753577589
250,762.5,0.0031035142902261707,964.4846139195763,33,-3.3970307439503573,49,-1.0650044694305398,34,1.297292424045503
255,715.7,0.02164927960938126,944.133158800761,34,-3.609378042496327,50,-1.031738885242751,34,1.255061180640426
260,715.7,0.01603120917895808,827.0831149175008,35,-3.6474202725593416,51,-1.271527088895347,35,1.528603590963781
265,715.7,0.013611792568205067,693.088337441508,36,-3.5685887815505266,51,-1.2738522987838734,35,1.5276969171019064
270,715.7,0.01164695038052436,571.3594947596232,36,-3.5373892959116233,51,-1.3862519066251089,35,1.6409174314267105
275,697.6,0.011668274676859387,598.5691792078654,37,-3.6763141634224192,53,-1.5471416978832022,37,1.8003584313187335
280,697.6,0.00972981623628242,587.8662849478828,37,-4.119703189121353,54,-1.5676695227936979,37,1.7830658241801793
285,697.6,0.010477994181452174,703.5205030163236,37,-4.121114726384481,54,-1.6707238942394482,38,1.8848116532988015
290,735.1,-0.005493632322664446,763.0062391104805,37,-4.190287299209171,55,-1.707199448030849,38,1.9179067049450347
295,735.1,-0.004007130154395997,813.3223886389837,38,-4.41350378147761,56,-1.421434408351565,39,1.589096489153968
300,735.1,-0.004187308477296983,815.8560852230496,39,-4.717776100423601,57,-1.3697133135293644,39,1.5370128993882073
305,781.9,-0.020802678319858374,785.4539926632351,40,-4.923665332780944,58,-1.39297279644198,39,1.5588425055768755
310,781.9,-0.018799812856314664,909.3717249620225,40,-5.17020621240139,59,-1.2326693471980934,40,1.3626964652538303
315,774.3,-0.016064604376150707,915.744879075792,41,-5.431088978913095,60,-1.2371565839549252,40,1.365734826379352
320,774.3,-0.01611401122093616,910.5735771894358,42,-5.7374402312618304,61,-1.176083128583238,40,1.291749243124567
325,792.4,-0.01915608966759754,822.4015993401114,43,-5.9572315707652255,61,-1.1432852531465945,41,1.2480494644220428
330,752.3,-0.005176671127265881,900.2837428880172,44,-5.811810651373381,62,-1.1917942432867779,42,1.3003985408388004
