train_times,steps,reward,Q loss,update_QNet_times,G loss,update_G_times,D loss,update_D_times,W_D
0,683.0,0.013136363019462477,nan,1,nan,1,nan,1,nan
7,741.5,-0.010017309941020392,0.06751580882285323,2,-0.02030049135727394,2,-1.3975198937077369,2,2.0280163646690426
14,761.0,-0.012488166182815744,0.4875724769751763,2,-0.05304815013299785,3,-2.5063406447687795,3,2.9892165085152973
21,770.75,-0.01885413666009065,12.31964971186475,2,-0.17737771235572705,4,-2.97995118736117,4,3.4405984903769515
28,776.6,-0.0296513958611588,59.72069206720196,2,-0.2649968838305785,5,-2.7249572397209705,4,3.1640634202176616
35,780.5,-0.03025635912666011,141.44105121816818,2,-0.329651389306315,6,-2.6254018262076,4,3.0554475317635235
42,783.2857142857143,-0.03093446155502,234.78790164845256,2,-0.13879386196636698,6,-2.360209477859889,4,2.7737243973585977
49,785.375,-0.03123179046297177,284.6854620721058,2,-0.001890568369804137,6,-2.219657174137985,4,2.6321501331771313
56,787.0,-0.03226008088775975,317.3473994506251,2,0.10088455969560617,6,-2.087589713664622,4,2.5014396183074465
63,788.3,-0.034036524438459115,343.796495518482,2,0.17044352390197712,6,-2.258954355959999,5,2.700326189530169
70,800.0,-0.03834080648132436,351.22461593820884,3,0.2247358283147194,7,-2.2182366470380552,6,2.6593741036383878
77,797.8,-0.037201768892499064,369.6019669352627,4,0.22559956723661528,8,-2.1837882499676198,6,2.5922731878366028
84,797.8,-0.03516614904825741,376.4529227187519,5,0.1384848461050304,9,-1.9554889990254825,6,2.361301336234642
91,797.8,-0.036564768640298395,382.9358756812413,6,0.17020219712969034,10,-1.5017873567515718,6,1.935448002662096
98,797.8,-0.029556709311294598,373.0699744408471,7,0.09588058709928264,11,-1.5439816685601895,7,1.9649744129210476
105,766.9,-0.014213792661461166,353.6123500453858,8,0.09541138634640016,12,-1.3655240625422447,7,1.7809518047581825
112,766.9,-0.011623878772895847,296.2488169755417,9,-0.1665036929677855,13,-1.6145376886731722,8,2.034975561389696
119,766.9,-0.011283063733576584,289.71086996931615,9,-0.2528629798755206,13,-1.5191928460342332,8,1.9423677569652256
126,766.9,-0.008418454270377322,277.60264168911243,9,-0.3700374590442569,13,-1.497148352704389,8,1.9202403090782716
133,766.9,-0.003908356163553247,292.79884325335627,9,-0.44886131102896076,13,-1.1292858650307476,8,1.5228629775801483
140,766.9,-0.002483220288209297,331.14479112206675,9,-0.6641772812597198,14,-1.0651133993223454,9,1.4365816787178807
147,769.1,-0.0030640529874107546,379.6168980720092,9,-0.6521438166176554,14,-1.1499343822463128,10,1.524313836279927
154,769.1,-0.0019380324724278426,447.19731675251813,10,-0.667316550372935,16,-1.1606027712754043,12,1.5322361461662364
161,769.1,-0.0021048149536346747,484.1904700516682,11,-0.6937740301150542,16,-1.2469572614202626,12,1.6261563699264627
168,755.7,0.004869003154147725,557.8495394580867,12,-0.7092962006652883,18,-1.2267701762907057,14,1.6089969555097219
175,786.6,-0.00746736441439245,550.8463807717668,13,-0.7167913455722005,18,-0.9639741751172679,14,1.4238433180636136
182,772.8,-0.0018308148555237027,575.3696121172225,14,-0.7173215668168037,19,-0.7082651666022304,15,1.1716562245039357
189,763.1,0.0007285305476421185,562.0726466362364,15,-0.896992554302283,20,-0.6829740521578147,15,1.161166586058303
196,763.1,-0.002268488109018253,562.5599186553954,16,-1.060085797499688,21,-0.5573918892721395,15,1.0391342829893389
203,763.1,-0.003625086386302813,515.6032818014962,17,-1.251974365325674,22,-0.6437588193604928,16,1.110787505000534
210,763.1,-0.003953779304766985,490.2770296507336,17,-1.4117618580376876,23,-0.7274926360728632,17,1.1943949884000042
217,730.6,0.008252907646736533,570.1911352531797,18,-1.6276239000673272,25,-0.626720011767606,19,1.0741017286594485
224,727.3,0.007351551071057849,510.34453449202556,19,-1.6689706389820351,25,-0.4007974616104034,19,0.8530763155142239
