train_times,steps,reward,Q loss,update_QNet_times,G loss,update_G_times,D loss,update_D_times,W_D
0,640.0,0.009754211898170034,nan,1,nan,1,nan,1,nan
4,470.0,0.09372271384857556,0.24298992815893145,2,-0.0019485919456896127,2,-3.146338730222649,2,3.5158515034657385
8,580.0,0.049497420748221645,0.1819758484023623,3,-0.007090519227590322,3,-3.923423256062799,3,4.402529958811485
12,520.75,0.05817770882755886,0.17300100835919796,4,-0.020846329689740522,4,-3.5061876005044694,3,3.908958037259678
16,576.6,0.04394251486368098,0.17303847307533338,4,-0.032139845703333156,5,-3.4492055652125018,3,3.8208987832783414
20,543.8333333333334,0.05261356681548885,0.9817537805205211,5,-0.05831673503850728,7,-3.1730010527107453,4,3.497217415363425
24,519.1428571428571,0.05910615096423951,1.3406517538730987,6,-0.06845316631044639,9,-3.2392547245930743,6,3.5676804856714557
28,554.25,0.04617914547253876,1.837290237061014,6,-0.08446396024053174,10,-3.2488087592333086,7,3.5919150793771193
32,581.5555555555555,0.03821389675400469,7.226505699751627,6,-0.10970186177749039,11,-3.293703494361705,8,3.6563494361466207
36,603.4,0.028582640856208808,12.844442831143494,6,-0.14514236612095574,12,-3.3609658898817907,9,3.735972755774396
40,619.4,0.02343464132627507,18.012345860002718,6,-0.18618288673470476,13,-3.307866083359553,9,3.6858487422346244
44,618.8,0.015840277599978594,25.09022886925439,7,-0.2569291909740584,15,-3.380758809746139,11,3.7731013392797776
48,614.3,0.021897739107664925,26.38521458011183,8,-0.36566303944769774,16,-3.211993564045263,11,3.5940428145370547
52,613.9,0.02265783293813211,32.127767278268486,9,-0.40488005695344365,18,-2.9479493627269013,12,3.3822054185234394
56,613.9,0.01774767476065674,32.446111695959715,10,-0.5069479306921498,19,-2.902030842857454,12,3.366004264341084
60,655.9,0.007759796693323463,35.26638184159452,11,-0.5830586253582324,20,-3.034707661451791,13,3.5228209398385095
64,698.8,-0.006529139445380744,46.92963424517169,11,-0.7330682697208941,21,-2.873472031952832,13,3.3397460685401703
68,670.5,0.006035386806309004,64.11671978983735,12,-0.7656653005554476,22,-2.7412843809690925,14,3.1918344097013653
72,649.6,0.012577395618814713,68.8812342082804,13,-0.9080007396402212,24,-2.6781234789934816,16,3.1170077887682828
76,649.6,0.014483845297444373,75.08211365229674,13,-0.8945968241083613,24,-2.257177440139691,16,2.748886181602637
80,595.0,0.03525777337125991,101.14366260217416,14,-0.929100711166597,25,-2.223868847332603,18,2.707119937007387
84,594.6,0.03640313605150812,95.22772357470579,15,-1.0546404196352461,26,-1.9826670209903248,18,2.46628402386913
88,558.0,0.045471974627065696,96.28896192318985,16,-1.1355303063770827,27,-1.8164354302325574,18,2.3046297036589123
92,604.1,0.033034534117389075,95.17238629600736,17,-1.2471346928350868,28,-1.8913128168494957,18,2.3630999827162813
