train_times,QNet loss,G loss,D loss,Wasserstein D
4,0.24298992815893145,-0.0019485919456896127,-3.146338730222649,3.5158515034657385
8,0.1209617686457932,-0.01223244650949103,-4.700507781902949,5.2892084141572315
12,0.15505132827286922,-0.04835795061404092,-2.671716289387809,2.9218141941560645
16,0.17315086722373962,-0.06602039374411106,-3.2782594593365983,3.5567210213343303
20,4.216615010301272,-0.1630242923792038,-2.06818300270372,2.2024919437037576
24,3.1351416206359866,-0.11913532267014186,-3.5705230840047193,3.9199958372116086
28,4.817121136188507,-0.18052872382104396,-3.3061329670747126,3.7373226416111
32,44.951013938585916,-0.2863671725362009,-3.6079666402604844,4.107389933533138
36,57.78793988227844,-0.42866640086867847,-3.899065054042472,4.372959312796593
40,64.52347311973571,-0.555547572258446,-2.8299678246594135,3.23473262037668
44,71.02182002067566,-0.7094116343392266,-3.875265994088517,4.388377473917272
48,13.070818877220153,-1.0995709312458835,-3.01285532489419,3.498623166730007
52,57.580578309839424,-0.44052812567150057,-0.03127427620418166,0.8034402340199008
56,3.3565950441360473,-1.086699131131172,-2.819074260642131,3.394709479510784
60,32.41931646664937,-0.9241312390400305,-3.3949511886470853,3.7706586986780164
64,119.76766565640767,-1.6192317662967575,-1.9581667890151342,2.089247124228212
68,176.68797658284507,-0.5064990321665795,-1.9842564572373198,2.258206053223047
72,92.59615812301635,-1.709721563383937,-2.9763576205043742,3.359123724202315
76,119.79673432244195,-0.29462724555007835,0.31039533449543855,0.691743241140136
80,325.13896261850994,-0.900586442840803,-2.4968818965885373,2.8170701744241846
84,11.862429745992024,-1.964808719025718,-1.4632477306657368,1.9800183425347013
88,23.68320236206055,-1.9084697986642518,-1.3505394173165164,1.8820799646278223
92,46.41482203801473,-1.5565719902515411,-0.7800481423735619,1.3881430245935915
96,190.4428243001302,-0.9176405831757519,-1.6972446167220674,1.9649544064783386
100,519.7112340291342,-2.667206642424895,-0.9389653851692047,1.0213455981678432
104,641.1528268178305,-0.4434125519409362,-1.8829779275175598,2.218292858120468
108,188.59200405544706,-0.7792296934941851,1.5510365903377532,-0.4506639236101397
112,418.34413197835283,-1.266665186319086,-2.793408265834053,3.1892158644894755
116,346.3541735967001,-0.859047126231922,-1.460527338967141,1.7937565174781613
120,421.34945157368975,-1.4595913235098121,-2.6973329551621443,3.066016050842073
124,245.91903463999427,-2.03023837837908,-1.9974845257484248,2.2114306489212643
128,213.38771724700928,-2.496190579401122,-1.2371089837436253,1.3880536288022993
132,169.71949644088747,-1.7932196959025328,-0.9097151339209328,1.1000412520435119
136,189.63833267211913,-2.6586063017447787,-2.062905305375655,2.347661239504814
140,512.6105500539144,-2.0248396696729793,-0.5841688590952091,0.7473926475892463
144,230.01549088160198,-1.1913634584181838,-0.5701096686482843,0.8280205913715892
148,395.28938694000243,-1.7093546973127458,-2.707801930151052,3.304778248320023
152,220.7458279800415,-1.9229552860061327,-1.8481886625538269,2.15952299207449
156,234.8754913012187,-1.2776249365674126,-1.7506639412707756,2.230957512971427
160,619.9228815714519,-2.026696942332718,-2.1790016568369337,2.385242395765252
164,233.63975111643475,-1.0772648628594146,-0.15095182640684976,0.4645860604941846
168,454.27646109263105,-1.8305383322553501,-1.283573182990464,1.4290595086084472
172,532.534534072876,-2.068534545186493,-1.8270678364568285,1.945496043894026
176,328.1550284645774,-3.211555243441553,-1.790143003043803,1.9370263711972668
180,922.2617956797282,-1.205996103093235,-0.5716285336529836,0.7683453585202291
184,595.5296293258666,-2.519130814820528,-0.8727607276885667,1.0047379735443327
188,332.925705464681,-1.8515432282454438,-0.9868505042149789,1.1493245611588163
192,162.38124604225158,-1.7867572642862797,-0.9568136345439899,1.1787422894810637
196,331.2182686805725,-1.5452956546408434,0.086015840831937,0.14436263157986098
200,342.9412701288859,-1.0120749677815992,0.9068713090279035,-0.5407786487291257
204,795.975308227539,-2.9915243163704877,-1.6789428832449225,1.851477680106958
208,537.0162907918294,-1.0717136273936678,0.1160567025654018,0.1522000620762507
212,775.0784236907958,-3.3973652761843467,-1.6654894892747203,1.7982162815001275
216,175.32868606567382,-2.254707564910253,-3.083226626118024,3.7150607530275988
220,618.8177183787028,-2.4677688037304,-0.6885239810579353,1.0031633512841331
224,2080.4915438334147,-4.256030566679935,-0.6412320802660867,0.7951378528442649
228,2481.163983154297,-1.5653231557613858,-1.2574922812895644,1.560592898892032
232,1202.0123307661577,-1.4675249540896127,-0.24495148113505405,0.4837050947276028
236,651.0109439849855,-1.8146255790359445,-0.4855816047250603,0.5773286612497435
240,741.3210426330567,-2.849001574019591,-1.6464187203389073,1.808916633327802
244,316.2469816207886,-4.412090900871489,-3.484379895735118,3.971037501096726
248,754.6486117045084,-4.890294467409452,-1.5750301726783316,1.7414332292146155
252,503.10016574859617,-4.294687128729291,-1.527129547380739,1.6740030288696288
256,765.0131782531739,-6.023537157310379,-1.341163066878087,1.513063571519322
260,583.3525711059569,-5.168599052561653,-1.545286592613492,1.752759915921423
264,153.76900117056712,-4.531622384275709,-4.496604217517943,5.053400836104439
268,608.2750509088689,-5.232876801129543,-3.288958517134641,3.734644332076564
272,553.3488975524903,-4.7173774424526425,-0.6389868892496451,0.7391084962420993
276,289.3528343963623,-5.38726003964742,-1.2156292577460408,1.3829231568177542
280,681.040219370524,-5.193411343627506,-3.311398377952476,3.763405619396104
284,410.0093254089355,-5.155517513553301,-2.2348304596160435,2.482389159997304
288,152.41140429178873,-3.0223136941591897,0.4514957544600797,-0.15388851585211571
292,263.51743602752686,-3.947788432240486,-2.7857847498108947,3.3559250732262926
296,918.3003089904786,-6.027238229910533,-0.619367931653849,0.6865920219156476
300,816.7179482777913,-3.921664503713449,-0.9064931157769427,1.0407793212268088
304,118.82056191762288,-4.608357893096076,-2.6052938647568222,2.8688891232013702
308,652.950626373291,-4.645247002442678,-2.733135223533544,3.155824061565929
312,505.70677235921227,-5.041696296797858,-1.6782639044181753,1.7861257447136774
316,496.5433765411377,-5.361581923233138,-2.357644878710724,2.675150473250283
320,309.21624783602624,-4.440453534776514,-1.306580235814732,1.5227028575810517
324,500.1513088226318,-3.9808733446730504,-1.3377112174303165,1.5370178572005697
328,260.1659604390462,-3.219341231717004,-3.029691670338313,3.4701759762234157
332,179.92617614746092,-3.886112984021505,-2.711148751179377,3.0055657847722372
336,586.249039332072,-4.889530444310772,-1.629960502870381,1.8394534692996076
340,502.05132045745853,-5.2652165939410525,-2.2832217270508406,2.6112758063607746
344,226.76142969131467,-5.347276270389557,-3.558692087978125,4.032367508113385
348,694.1578815460205,-5.014291086130672,-0.7427349056996819,0.8606083792116908
352,432.9129919052124,-4.742047528425853,-1.8587034630278745,2.2054600061641794
356,562.2021104176839,-5.429895368715128,-1.0391096816967347,1.1732121298710505
360,699.8648576354981,-6.35593377550443,-1.2614533599636828,1.3971921765804292
364,974.928431562944,-4.600041745286999,-1.3589116339430667,1.5766437922463272
368,601.7289981206259,-4.604248359799385,-1.1446512180613353,1.2907092693779205
372,950.9492441813152,-6.68956417342027,-0.7689547269514555,0.8710667570432026
376,950.049199930827,-5.208999327487415,-1.5809648050512703,1.707730139626397
380,500.14434897682884,-5.869147808262796,-0.6234455238576186,1.1348351670034005
384,460.4581985473633,-6.858179887135824,-2.0854179619604514,2.334961603416337
388,365.59659061431887,-5.530904938777288,-1.0357768470110993,1.2054894546667734
392,355.17429415384925,-6.712203400002585,-1.3606265374491664,1.4716950085428024
396,668.1864042917887,-5.682816975646549,-2.173221157625732,2.492626698811849
400,392.79613050981,-6.352465472438118,-1.0230542787096715,1.4345569227681014
404,416.4511056264241,-5.779965074525939,-0.9494462228897546,1.0710054159164428
408,390.39932266235354,-6.892943906784057,-1.747330176567193,1.9503324981530508
412,465.3701156616211,-4.408750294811195,-0.9748969041535425,1.2377601087093353
416,384.9853926976522,-5.565801123778025,-0.9490942585877038,1.045042758848932
420,561.2686931610108,-6.074725366301007,-1.1132064331581608,1.239290033446418
424,535.5884211222331,-6.1200615896119,-1.1747076266600438,1.4182695541116925
428,624.8462198893229,-6.625259589817788,-1.7016414565344653,2.024610537290573
432,572.5843982696533,-5.218040972948074,-1.4678714121071,1.9204520528515179
436,615.0674168904623,-6.192360828320186,-1.4849273443480748,1.6136178096135458
440,485.31471621195476,-4.998949249585469,-0.4579955934960807,0.5400781787104076
444,436.31339772542316,-3.3974950710932417,-3.5466214862134717,3.9782507432831657
448,576.155411529541,-4.999197643995285,-1.1327604073596498,1.2667963123321533
4,1008.7816685994467,-4.338161591026518,-0.7336004386914687,0.8101712455352147
8,1023.7575925191243,-4.286969689859284,-2.03584814918124,2.183976815144221
12,939.4927411397298,-4.489042619864145,-0.9775353165757326,1.025353757540385
16,967.1873151143393,-4.403340051571528,-0.9066828198213543,0.9569583157698316
20,293.95910673141475,-6.441397358973821,2.5552043539782363,-2.224010616540909
24,942.6666643778483,-4.473787340852949,-1.3018187463387019,1.4344410051902134
28,962.7896662394206,-4.417333689000872,-1.093572951273786,1.1464397052923836
32,945.9285024007162,-4.465543210506439,-1.8706629680262674,1.9132524808247884
36,975.7679145812988,-4.424729701545504,-0.38367251263827906,0.5232486695051194
40,933.0920572916666,-4.4589887791209755,-0.9912093965504837,1.0325292368729908
44,969.4765955607097,-4.509078928165966,-1.3444450687642935,1.4641092750761244
48,1007.6853340148925,-4.347787277566062,-0.9686502549590336,1.1068711391753623
52,1014.9208651224772,-4.421446033649975,-1.58365897831714,1.6556301189793479
56,937.793993250529,-4.464906700783305,-2.4759975978483757,2.5856101291047207
60,938.78033396403,-4.524666875600815,-0.8929837881509837,0.9734029726849661
64,994.9261644999186,-4.371093170510399,-0.9068963678088039,1.0114034321573044
68,227.99821408589682,-7.282475100623237,2.462036706507206,-1.8443223304218714
72,940.7578066507975,-4.529039641221364,-1.9749612273544903,2.039856131871541
76,918.4760762532552,-4.542020867268244,-0.9662641623160908,1.0152805119752886
80,960.2258150736491,-4.571144205000666,-1.2488167977503812,1.2899413317441941
84,621.3363990783691,-5.231048345565796,-1.1015489424268408,1.2903461758295693
88,943.9312650044759,-4.6073820044597,-1.4891959542615547,1.5501327441798316
92,945.590204111735,-4.537982321447796,-2.8682897555383127,2.9315275192260746
96,236.93518600463867,-6.829194375446865,1.9601031385716938,-1.6669917657261804
100,978.0383359273275,-4.463903513219622,-0.27018274881152626,0.38262486375040494
104,928.7602475484211,-4.56744547188282,-0.9082026869782972,1.088588297035959
108,957.1886159261068,-4.491386019521289,-1.961976855466815,2.095810456408395
112,321.36583709716797,-6.248952532807986,2.5299623688682913,-2.1486842473347982
116,923.4225568135579,-4.548272013664246,-1.4566738625600313,1.5266696731249492
120,334.0588593482971,-6.290302465359369,1.3436518166369449,-1.1012695918480555
124,993.5583867390951,-4.498960082729658,-2.0506709160438428,2.1763324942853717
128,992.3310201009114,-4.470050623019536,-1.5820423431797987,1.6554200702243382
132,991.1199668884278,-4.530972290370199,-1.4380331566505546,1.5005128837294048
136,1001.0684989929199,-4.553429401583141,-1.4075960274216617,1.4609346144729187
140,946.3438377380371,-4.548521806796392,-1.3650496357017092,1.4487149582968815
144,905.1267946879069,-4.643320636616813,-2.3408639924393757,2.396564472052786
148,257.57162813459126,-6.811071935154143,1.6871275209600018,-1.3837833625929696
152,918.8870226542155,-4.6035250922044115,-1.9345145248342306,1.9678052292929755
156,950.6327509562174,-4.548183681236373,-1.4960617908276617,1.620463078882959
160,937.4158625284831,-4.634763414661089,-1.275884583677786,1.3723174459404415
164,979.2604708353679,-4.5358481539620294,-0.05704632964399131,0.11073097454177017
168,931.8416699727377,-4.69375864830282,-1.4457256475334157,1.5734547754128774
172,998.5195213317871,-4.585526121987237,0.6440425638523366,-0.5819336909386845
176,978.6579729715983,-4.533940038747258,-1.1253404720065492,1.2154158926672407
180,962.9880338033041,-4.513306755158636,-1.4270785892434006,1.540662201245626
184,927.1758176167806,-4.677114829421043,-0.15735809813357055,0.23898782134056099
188,914.4826278686523,-4.699963313010004,-1.424553359191244,1.4588341620233325
192,933.3195727030436,-4.6093841758039265,-1.0502468861937004,1.1813189122411942
196,937.8431457519532,-4.638043029440774,-2.493420797141476,2.593134133021037
200,250.39283390045165,-6.684232622385025,1.3855284543087087,-1.0225639621416729
204,961.0319190979004,-4.646947791179021,-2.222271506449518,2.277888952361213
208,460.9887860107422,-5.854596932729085,0.18945259998242087,-0.149460096359253
212,912.6984667460124,-4.689120133717855,-1.4290406511708473,1.4911667734384535
